Date,Net Asset Value,Repurchase Price,Sale Price
2015-05-15,84.2256,,
2015-05-18,85.32,,
2015-05-19,85.2541,,
2015-05-20,85.7301,,
2015-05-21,85.7048,,
2015-05-22,86.0173,,
2015-05-25,85.2572,,
2015-05-26,84.9383,,
2015-05-27,84.8876,,
2015-05-28,84.6703,,
2015-05-29,85.7362,,
2015-06-01,85.6028,,
2015-06-02,83.6975,,
2015-06-03,82.6508,,
2015-06-04,82.7031,,
2015-06-05,82.5935,,
2015-06-08,81.7571,,
2015-06-09,81.5946,,
2015-06-10,82.5991,,
2015-06-11,81.0292,,
2015-06-12,81.1801,,
2015-06-15,81.5572,,
2015-06-16,81.8713,,
2015-06-17,82.3781,,
2015-06-18,83.2098,,
2015-06-19,83.827,,
2015-06-22,85.0715,,
2015-06-23,85.3586,,
2015-06-24,85.0471,,
2015-06-25,85.5145,,
2015-06-26,85.3241,,
2015-06-29,84.6297,,
2015-06-30,85.1875,,
2015-07-01,86.0696,,
2015-07-02,86.0877,,
2015-07-03,86.4373,,
2015-07-06,86.8836,,
2015-07-07,86.8605,,
2015-07-08,85.4113,,
2015-07-09,85.1522,,
2015-07-10,85.428,,
2015-07-13,86.444,,
2015-07-14,86.3874,,
2015-07-15,87.0832,,
2015-07-16,87.9429,,
2015-07-17,88.0177,,
2015-07-20,88.0328,,
2015-07-21,87.1675,,
2015-07-22,88.2009,,
2015-07-23,87.8851,,
2015-07-24,87.2054,,
2015-07-27,85.6291,,
2015-07-28,85.3335,,
2015-07-29,85.6979,,
2015-07-30,86.2333,,
2015-07-31,87.3254,,
2015-08-03,87.4382,,
2015-08-04,87.3724,,
2015-08-05,87.9549,,
2015-08-06,88.2229,,
2015-08-07,88.0415,,
2015-08-10,87.6401,,
2015-08-11,86.9249,,
2015-08-12,85.5851,,
2015-08-13,85.6298,,
2015-08-14,87.3926,,
2015-08-17,87.0604,,
2015-08-18,87.0528,,
2015-08-19,87.3193,,
2015-08-20,86.1372,,
2015-08-21,85.3675,,
2015-08-24,80.0104,,
2015-08-25,81.0307,,
2015-08-26,80.1156,,
2015-08-27,81.8403,,
2015-08-28,82.2796,,
2015-08-31,82.0061,,
2015-09-01,80.14,,
2015-09-02,79.4566,,
2015-09-03,80.5492,,
2015-09-04,78.8127,,
2015-09-07,77.6982,,
2015-09-08,78.9358,,
2015-09-09,80.2863,,
2015-09-10,80.0813,,
2015-09-11,80.0329,,
2015-09-14,80.9368,,
2015-09-15,80.4321,,
2015-09-16,81.0483,,
2015-09-18,81.9305,,
2015-09-21,81.9496,,
2015-09-22,80.2647,,
2015-09-23,80.6699,,
2015-09-24,80.8125,,
2015-09-28,80.1247,,
2015-09-29,80.5277,,
2015-09-30,81.6494,,
2015-10-01,81.7177,,
2015-10-05,83.4149,,
2015-10-06,83.7703,,
2015-10-07,83.9866,,
2015-10-08,83.4604,,
2015-10-09,83.9487,,
2015-10-12,83.6154,,
2015-10-13,83.4542,,
2015-10-14,83.2361,,
2015-10-15,83.9614,,
2015-10-16,84.5838,,
2015-10-19,84.9405,,
2015-10-20,84.8627,,
2015-10-21,84.7071,,
2015-10-23,85.1047,,
2015-10-26,84.7348,,
2015-10-27,84.5269,,
2015-10-28,83.942,,
2015-10-29,83.3466,,
2015-10-30,82.9128,,
2015-11-02,82.797,,
2015-11-03,82.9274,,
2015-11-04,82.8216,,
2015-11-05,81.9183,,
2015-11-06,81.7767,,
2015-11-09,81.5,,
2015-11-10,80.1823,,
2015-11-13,79.9655,,
2015-11-16,80.3674,,
2015-11-17,80.6312,,
2015-11-18,79.6348,,
2015-11-19,80.7673,,
2015-11-20,80.9436,,
2015-11-23,80.9281,,
2015-11-24,80.8042,,
2015-11-26,81.2816,,
2015-11-27,81.7824,,
2015-11-30,81.8122,,
2015-12-01,81.9793,,
2015-12-02,81.7909,,
2015-12-03,81.129,,
